Va,Vb,Vc,Ia,Ib,Ic,Distance,Resistance,Label
14471.2855863704,14471.3963531231,14471.4226316088,6.02413992953887,6.03028573864979,6.0367820520273,50,5.0,0
14471.2855863704,14471.3963531231,14471.4226316088,6.02413992953887,6.03028573864979,6.0367820520273,50,10.0,0
14471.2855863704,14471.3963531231,14471.4226316088,6.02413992953887,6.03028573864979,6.0367820520273,50,20.0,0
14471.2855863704,14471.3963531231,14471.4226316088,6.02413992953887,6.03028573864979,6.0367820520273,50,50.0,0
14471.2855863704,14471.3963531231,14471.4226316088,6.02413992953887,6.03028573864979,6.0367820520273,50,80.0,0
14471.2855863704,14471.3963531231,14471.4226316088,6.02413992953887,6.03028573864979,6.0367820520273,50,100.0,0
14471.2854356009,14471.3962684583,14471.4225409129,6.02411511073391,6.03026970740383,6.03676687379995,55,0.001,0
14471.2854356009,14471.3962684583,14471.4225409129,6.02411511073391,6.03026970740383,6.03676687379995,55,1.0,0
14471.2854356009,14471.3962684583,14471.4225409129,6.02411511073391,6.03026970740383,6.03676687379995,55,5.0,0
14471.2854356009,14471.3962684583,14471.4225409129,6.02411511073391,6.03026970740383,6.03676687379995,55,10.0,0
14471.2854356009,14471.3962684583,14471.4225409129,6.02411511073391,6.03026970740383,6.03676687379995,55,20.0,0
14471.2854356009,14471.3962684583,14471.4225409129,6.02411511073391,6.03026970740383,6.03676687379995,55,50.0,0
14471.2854356009,14471.3962684583,14471.4225409129,6.02411511073391,6.03026970740383,6.03676687379995,55,80.0,0
14471.2854356009,14471.3962684583,14471.4225409129,6.02411511073391,6.03026970740383,6.03676687379995,55,100.0,0
14471.2851077899,14471.3960000464,14471.4222668805,6.02405637435113,6.03021898477177,6.0367167945886,60,0.001,0
14471.2851077899,14471.3960000464,14471.4222668805,6.02405637435113,6.03021898477177,6.0367167945886,60,1.0,0
14471.2851077899,14471.3960000464,14471.4222668805,6.02405637435113,6.03021898477177,6.0367167945886,60,5.0,0
14471.2851077899,14471.3960000464,14471.4222668805,6.02405637435113,6.03021898477177,6.0367167945886,60,10.0,0
14471.2851077899,14471.3960000464,14471.4222668805,6.02405637435113,6.03021898477177,6.0367167945886,60,20.0,0
14471.2851077899,14471.3960000464,14471.4222668805,6.02405637435113,6.03021898477177,6.0367167945886,60,50.0,0
14471.2851077899,14471.3960000464,14471.4222668805,6.02405637435113,6.03021898477177,6.0367167945886,60,80.0,0
14471.2851077899,14471.3960000464,14471.4222668805,6.02405637435113,6.03021898477177,6.0367167945886,60,100.0,0
14471.2846026151,14471.3955475503,14471.4218091805,6.02396366038836,6.03013350889993,6.03663175290362,65,0.001,0
14471.2846026151,14471.3955475503,14471.4218091805,6.02396366038836,6.03013350889993,6.03663175290362,65,1.0,0
14471.2846026151,14471.3955475503,14471.4218091805,6.02396366038836,6.03013350889993,6.03663175290362,65,5.0,0
14471.2846026151,14471.3955475503,14471.4218091805,6.02396366038836,6.03013350889993,6.03663175290362,65,10.0,0
14471.2846026151,14471.3955475503,14471.4218091805,6.02396366038836,6.03013350889993,6.03663175290362,65,20.0,0
14471.2846026151,14471.3955475503,14471.4218091805,6.02396366038836,6.03013350889993,6.03663175290362,65,50.0,0
14471.2846026151,14471.3955475503,14471.4218091805,6.02396366038836,6.03013350889993,6.03663175290362,65,80.0,0
14471.2846026151,14471.3955475503,14471.4218091805,6.02396366038836,6.03013350889993,6.03663175290362,65,100.0,0
14471.2839197711,14471.394910651,14471.4211674994,6.02383691318223,6.03001322239791,6.03651169172321,70,0.001,0
14471.2839197711,14471.394910651,14471.4211674994,6.02383691318223,6.03001322239791,6.03651169172321,70,1.0,0
14471.2839197711,14471.394910651,14471.4211674994,6.02383691318223,6.03001322239791,6.03651169172321,70,5.0,0
14471.2839197711,14471.394910651,14471.4211674994,6.02383691318223,6.03001322239791,6.03651169172321,70,10.0,0
14471.2839197711,14471.394910651,14471.4211674994,6.02383691318223,6.03001322239791,6.03651169172321,70,20.0,0
14471.2839197711,14471.394910651,14471.4211674994,6.02383691318223,6.03001322239791,6.03651169172321,70,50.0,0
14471.2839197711,14471.394910651,14471.4211674994,6.02383691318223,6.03001322239791,6.03651169172321,70,80.0,0
14471.2839197711,14471.394910651,14471.4211674994,6.02383691318223,6.03001322239791,6.03651169172321,70,100.0,0
14471.2830589695,14471.3940890477,14471.4203415413,6.02367608140476,6.02985807233583,6.03635655849227,75,0.001,0
14471.2830589695,14471.3940890477,14471.4203415413,6.02367608140476,6.02985807233583,6.03635655849227,75,1.0,0
14471.2830589695,14471.3940890477,14471.4203415413,6.02367608140476,6.02985807233583,6.03635655849227,75,5.0,0
14471.2830589695,14471.3940890477,14471.4203415413,6.02367608140476,6.02985807233583,6.03635655849227,75,10.0,0
14471.2830589695,14471.3940890477,14471.4203415413,6.02367608140476,6.02985807233583,6.03635655849227,75,20.0,0
14471.2830589695,14471.3940890477,14471.4203415413,6.02367608140476,6.02985807233583,6.03635655849227,75,50.0,0
14471.2830589695,14471.3940890477,14471.4203415413,6.02367608140476,6.02985807233583,6.03635655849227,75,80.0,0
14471.2830589695,14471.3940890477,14471.4203415413,6.02367608140476,6.02985807233583,6.03635655849227,75,100.0,0
14471.2820199385,14471.3930824574,14471.419331028,6.02348111806246,6.02966801024351,6.03616630512062,80,0.001,0
14471.2820199385,14471.3930824574,14471.419331028,6.02348111806246,6.02966801024351,6.03616630512062,80,1.0,0
14471.2820199385,14471.3930824574,14471.419331028,6.02348111806246,6.02966801024351,6.03616630512062,80,5.0,0
14471.2820199385,14471.3930824574,14471.419331028,6.02348111806246,6.02966801024351,6.03616630512062,80,10.0,0
14471.2820199385,14471.3930824574,14471.419331028,6.02348111806246,6.02966801024351,6.03616630512062,80,20.0,0
14471.2820199385,14471.3930824574,14471.419331028,6.02348111806246,6.02966801024351,6.03616630512062,80,50.0,0
14471.2820199385,14471.3930824574,14471.419331028,6.02348111806246,6.02966801024351,6.03616630512062,80,80.0,0
14471.2820199385,14471.3930824574,14471.419331028,6.02348111806246,6.02966801024351,6.03616630512062,80,100.0,0
14471.2808024231,14471.3918906155,14471.4181356987,6.02325198049518,6.02944299210999,6.03594088798246,85,0.001,0
14471.2808024231,14471.3918906155,14471.4181356987,6.02325198049518,6.02944299210999,6.03594088798246,85,1.0,0
14471.2808024231,14471.3918906155,14471.4181356987,6.02325198049518,6.02944299210999,6.03594088798246,85,5.0,0
14471.2808024231,14471.3918906155,14471.4181356987,6.02325198049518,6.02944299210999,6.03594088798246,85,10.0,0
14471.2808024231,14471.3918906155,14471.4181356987,6.02325198049518,6.02944299210999,6.03594088798246,85,20.0,0
14471.2808024231,14471.3918906155,14471.4181356987,6.02325198049518,6.02944299210999,6.03594088798246,85,50.0,0
14471.2808024231,14471.3918906155,14471.4181356987,6.02325198049518,6.02944299210999,6.03594088798246,85,80.0,0
14471.2808024231,14471.3918906155,14471.4181356987,6.02325198049518,6.02944299210999,6.03594088798246,85,100.0,0
14471.2794061852,14471.3905132752,14471.4167553104,6.0229886303768,6.02918297838478,6.03568026791693,90,0.001,0
14471.2794061852,14471.3905132752,14471.4167553104,6.0229886303768,6.02918297838478,6.03568026791693,90,1.0,0
14471.2794061852,14471.3905132752,14471.4167553104,6.0229886303768,6.02918297838478,6.03568026791693,90,5.0,0
14471.2794061852,14471.3905132752,14471.4167553104,6.0229886303768,6.02918297838478,6.03568026791693,90,10.0,0
14471.2794061852,14471.3905132752,14471.4167553104,6.0229886303768,6.02918297838478,6.03568026791693,90,20.0,0
14471.2794061852,14471.3905132752,14471.4167553104,6.0229886303768,6.02918297838478,6.03568026791693,90,50.0,0
14471.2794061852,14471.3905132752,14471.4167553104,6.0229886303768,6.02918297838478,6.03568026791693,90,80.0,0
14471.2794061852,14471.3905132752,14471.4167553104,6.0229886303768,6.02918297838478,6.03568026791693,90,100.0,0
14471.2778310032,14471.3889502078,14471.4151896375,6.0226910337156,6.02888793397847,6.03538441022969,95,0.001,0
14471.2778310032,14471.3889502078,14471.4151896375,6.0226910337156,6.02888793397847,6.03538441022969,95,1.0,0
